NAME,B25104_001E,B25104_002E,B25104_003E,B25104_004E,B25104_005E,B25104_006E,B25104_007E,B25104_008E,B25104_009E,B25104_010E,B25104_011E,B25104_012E,B25104_013E,B25104_014E,B25104_015E,B25104_016E,B25104_017E,state,county,tract
"Census Tract 12, Grays Harbor County, Washington",1444.0,0.0,57.0,39.0,89.0,236.0,140.0,66.0,117.0,20.0,93.0,524.0,24.0,22.0,0.0,0.0,17.0,53,027,001200
"Census Tract 13, Grays Harbor County, Washington",1347.0,0.0,72.0,27.0,60.0,140.0,96.0,49.0,150.0,47.0,126.0,400.0,114.0,35.0,8.0,6.0,17.0,53,027,001300
"Census Tract 14, Grays Harbor County, Washington",882.0,28.0,4.0,37.0,33.0,60.0,75.0,25.0,78.0,90.0,7.0,345.0,67.0,18.0,11.0,0.0,4.0,53,027,001400
"Census Tract 15, Grays Harbor County, Washington",1862.0,0.0,24.0,178.0,88.0,151.0,167.0,255.0,147.0,88.0,78.0,424.0,181.0,39.0,35.0,0.0,7.0,53,027,001500
"Census Tract 16.01, Grays Harbor County, Washington",1181.0,28.0,0.0,115.0,54.0,54.0,105.0,49.0,59.0,108.0,178.0,211.0,154.0,11.0,16.0,15.0,24.0,53,027,001601
"Census Tract 16.02, Grays Harbor County, Washington",693.0,0.0,0.0,55.0,87.0,116.0,15.0,22.0,25.0,20.0,19.0,113.0,103.0,48.0,12.0,0.0,58.0,53,027,001602
"Census Tract 9400, Grays Harbor County, Washington",324.0,41.0,23.0,67.0,40.0,50.0,0.0,32.0,19.0,8.0,5.0,19.0,6.0,3.0,0.0,1.0,10.0,53,027,940000
"Census Tract 9900, Grays Harbor County, Washington",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,027,990000
"Census Tract 9701, Island County, Washington",1082.0,0.0,0.0,0.0,47.0,66.0,31.0,60.0,35.0,37.0,28.0,182.0,380.0,134.0,55.0,27.0,0.0,53,029,970100
"Census Tract 9702, Island County, Washington",124.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,71.0,35.0,0.0,0.0,0.0,0.0,53,029,970200
"Census Tract 9703, Island County, Washington",1664.0,0.0,0.0,29.0,49.0,57.0,82.0,150.0,146.0,120.0,21.0,257.0,230.0,326.0,130.0,67.0,0.0,53,029,970300
"Census Tract 9704.01, Island County, Washington",1280.0,0.0,0.0,16.0,0.0,23.0,30.0,120.0,38.0,19.0,78.0,99.0,409.0,353.0,66.0,18.0,11.0,53,029,970401
"Census Tract 9704.02, Island County, Washington",1437.0,0.0,22.0,47.0,68.0,0.0,11.0,115.0,90.0,173.0,0.0,460.0,384.0,67.0,0.0,0.0,0.0,53,029,970402
"Census Tract 9705, Island County, Washington",2587.0,33.0,0.0,29.0,0.0,62.0,75.0,198.0,142.0,26.0,54.0,521.0,481.0,623.0,154.0,189.0,0.0,53,029,970500
"Census Tract 9706.01, Island County, Washington",1545.0,0.0,37.0,18.0,99.0,45.0,55.0,115.0,65.0,88.0,62.0,412.0,288.0,223.0,24.0,0.0,14.0,53,029,970601
"Census Tract 9706.02, Island County, Washington",1352.0,0.0,12.0,33.0,20.0,17.0,12.0,37.0,102.0,49.0,49.0,579.0,157.0,154.0,56.0,63.0,12.0,53,029,970602
"Census Tract 9707, Island County, Washington",1075.0,0.0,8.0,28.0,23.0,35.0,10.0,31.0,47.0,28.0,125.0,523.0,142.0,21.0,5.0,7.0,42.0,53,029,970700
"Census Tract 9708, Island County, Washington",1336.0,0.0,10.0,18.0,12.0,66.0,33.0,159.0,0.0,52.0,66.0,479.0,220.0,158.0,18.0,14.0,31.0,53,029,970800
"Census Tract 9709, Island County, Washington",1449.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,6.0,681.0,537.0,136.0,10.0,0.0,64.0,53,029,970900
"Census Tract 9710, Island County, Washington",2359.0,0.0,66.0,77.0,110.0,43.0,121.0,148.0,82.0,94.0,98.0,399.0,375.0,425.0,164.0,137.0,20.0,53,029,971000
"Census Tract 9711, Island County, Washington",1591.0,6.0,9.0,25.0,99.0,103.0,55.0,127.0,81.0,130.0,41.0,207.0,282.0,227.0,60.0,125.0,14.0,53,029,971100
"Census Tract 9713.01, Island County, Washington",1195.0,0.0,141.0,0.0,5.0,59.0,35.0,114.0,13.0,26.0,12.0,171.0,210.0,151.0,112.0,134.0,12.0,53,029,971301
"Census Tract 9713.02, Island County, Washington",1309.0,0.0,0.0,49.0,75.0,53.0,114.0,33.0,116.0,95.0,129.0,102.0,230.0,126.0,64.0,123.0,0.0,53,029,971302
"Census Tract 9714, Island County, Washington",2030.0,0.0,9.0,40.0,28.0,111.0,72.0,50.0,106.0,49.0,29.0,284.0,247.0,505.0,319.0,162.0,19.0,53,029,971400
"Census Tract 9715, Island County, Washington",1560.0,0.0,0.0,9.0,25.0,94.0,69.0,75.0,34.0,64.0,27.0,283.0,328.0,255.0,144.0,144.0,9.0,53,029,971500
"Census Tract 9716, Island County, Washington",1649.0,0.0,9.0,4.0,38.0,128.0,96.0,107.0,35.0,127.0,28.0,222.0,246.0,296.0,188.0,125.0,0.0,53,029,971600
"Census Tract 9717, Island County, Washington",2047.0,0.0,8.0,32.0,130.0,94.0,175.0,93.0,135.0,22.0,178.0,367.0,247.0,255.0,144.0,93.0,74.0,53,029,971700
"Census Tract 9718, Island County, Washington",1083.0,32.0,0.0,9.0,13.0,115.0,26.0,75.0,16.0,91.0,10.0,174.0,243.0,77.0,115.0,70.0,17.0,53,029,971800
"Census Tract 9719, Island County, Washington",1918.0,0.0,9.0,76.0,82.0,109.0,134.0,77.0,155.0,36.0,71.0,491.0,232.0,209.0,137.0,77.0,23.0,53,029,971900
"Census Tract 9720, Island County, Washington",1859.0,0.0,19.0,74.0,55.0,176.0,144.0,133.0,65.0,76.0,33.0,329.0,195.0,224.0,127.0,156.0,53.0,53,029,972000
"Census Tract 9721, Island County, Washington",1571.0,0.0,0.0,27.0,86.0,71.0,55.0,62.0,48.0,62.0,52.0,324.0,277.0,155.0,135.0,156.0,61.0,53,029,972100
"Census Tract 9922.01, Island County, Washington",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,029,992201
"Census Tract 9502.02, Jefferson County, Washington",835.0,0.0,43.0,104.0,50.0,43.0,104.0,45.0,10.0,49.0,3.0,185.0,43.0,66.0,42.0,41.0,7.0,53,031,950202
"Census Tract 9503.01, Jefferson County, Washington",1846.0,0.0,59.0,40.0,84.0,213.0,211.0,125.0,25.0,10.0,32.0,253.0,227.0,355.0,116.0,96.0,0.0,53,031,950301
"Census Tract 9503.02, Jefferson County, Washington",1400.0,0.0,0.0,51.0,0.0,88.0,54.0,197.0,105.0,12.0,39.0,255.0,221.0,221.0,30.0,38.0,89.0,53,031,950302
"Census Tract 9504, Jefferson County, Washington",1726.0,36.0,33.0,40.0,107.0,54.0,54.0,101.0,95.0,96.0,131.0,454.0,370.0,70.0,8.0,52.0,25.0,53,031,950400
"Census Tract 9505.01, Jefferson County, Washington",2269.0,0.0,38.0,145.0,140.0,85.0,82.0,163.0,68.0,163.0,233.0,621.0,248.0,172.0,41.0,70.0,0.0,53,031,950501
"Census Tract 9505.02, Jefferson County, Washington",1256.0,0.0,51.0,119.0,18.0,49.0,192.0,142.0,48.0,36.0,76.0,175.0,140.0,162.0,22.0,26.0,0.0,53,031,950502
"Census Tract 9506.02, Jefferson County, Washington",1765.0,0.0,10.0,10.0,70.0,55.0,112.0,156.0,154.0,152.0,52.0,401.0,312.0,88.0,88.0,54.0,51.0,53,031,950602
"Census Tract 9506.03, Jefferson County, Washington",1742.0,60.0,89.0,150.0,28.0,38.0,33.0,115.0,142.0,53.0,163.0,505.0,218.0,92.0,24.0,14.0,18.0,53,031,950603
"Census Tract 9506.04, Jefferson County, Washington",1800.0,0.0,0.0,63.0,54.0,91.0,223.0,141.0,160.0,72.0,170.0,281.0,160.0,63.0,76.0,154.0,92.0,53,031,950604
"Census Tract 9507.02, Jefferson County, Washington",858.0,6.0,41.0,129.0,66.0,121.0,55.0,51.0,54.0,32.0,42.0,93.0,62.0,35.0,4.0,17.0,50.0,53,031,950702
"Census Tract 9900, Jefferson County, Washington",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,031,990000
"Census Tract 1.01, King County, Washington",1691.0,0.0,0.0,0.0,40.0,0.0,22.0,0.0,0.0,21.0,35.0,540.0,495.0,374.0,78.0,52.0,34.0,53,033,000101
"Census Tract 1.02, King County, Washington",2146.0,0.0,0.0,129.0,43.0,52.0,0.0,14.0,24.0,27.0,90.0,501.0,359.0,319.0,188.0,300.0,100.0,53,033,000102
"Census Tract 2.01, King County, Washington",2326.0,0.0,0.0,0.0,16.0,17.0,71.0,0.0,0.0,69.0,36.0,707.0,632.0,375.0,197.0,206.0,0.0,53,033,000201
"Census Tract 2.02, King County, Washington",1550.0,0.0,0.0,28.0,13.0,20.0,26.0,21.0,98.0,49.0,70.0,340.0,216.0,197.0,183.0,289.0,0.0,53,033,000202
"Census Tract 3, King County, Washington",1127.0,0.0,0.0,0.0,11.0,0.0,23.0,8.0,22.0,39.0,68.0,126.0,207.0,341.0,171.0,111.0,0.0,53,033,000300
"Census Tract 4.02, King County, Washington",2546.0,0.0,0.0,0.0,0.0,0.0,72.0,68.0,68.0,30.0,36.0,682.0,833.0,182.0,92.0,466.0,17.0,53,033,000402
"Census Tract 4.03, King County, Washington",1714.0,0.0,30.0,139.0,173.0,82.0,13.0,14.0,48.0,70.0,29.0,375.0,288.0,164.0,191.0,98.0,0.0,53,033,000403
"Census Tract 4.04, King County, Washington",2310.0,0.0,0.0,42.0,51.0,51.0,0.0,10.0,70.0,11.0,7.0,1238.0,545.0,249.0,0.0,36.0,0.0,53,033,000404
"Census Tract 5, King County, Washington",1263.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,51.0,109.0,248.0,93.0,54.0,171.0,483.0,10.0,53,033,000500
"Census Tract 6.01, King County, Washington",1799.0,0.0,0.0,0.0,52.0,0.0,12.0,63.0,19.0,0.0,24.0,347.0,381.0,222.0,261.0,376.0,42.0,53,033,000601
"Census Tract 6.02, King County, Washington",1497.0,0.0,0.0,78.0,0.0,0.0,24.0,14.0,120.0,28.0,15.0,223.0,348.0,242.0,206.0,177.0,22.0,53,033,000602
"Census Tract 7, King County, Washington",2345.0,0.0,0.0,33.0,70.0,11.0,32.0,43.0,18.0,25.0,8.0,468.0,764.0,349.0,196.0,258.0,70.0,53,033,000700
"Census Tract 8, King County, Washington",1144.0,0.0,0.0,0.0,20.0,0.0,18.0,52.0,70.0,33.0,35.0,100.0,186.0,182.0,223.0,217.0,8.0,53,033,000800
"Census Tract 9, King County, Washington",892.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,8.0,51.0,239.0,111.0,32.0,60.0,358.0,11.0,53,033,000900
"Census Tract 10, King County, Washington",769.0,0.0,5.0,0.0,9.0,3.0,14.0,7.0,26.0,16.0,27.0,154.0,131.0,75.0,71.0,228.0,3.0,53,033,001000
"Census Tract 11, King County, Washington",1076.0,9.0,0.0,0.0,0.0,11.0,0.0,23.0,80.0,15.0,29.0,123.0,54.0,137.0,155.0,430.0,10.0,53,033,001100
"Census Tract 12.01, King County, Washington",2286.0,0.0,0.0,38.0,55.0,61.0,33.0,51.0,89.0,61.0,218.0,513.0,810.0,164.0,67.0,79.0,47.0,53,033,001201
"Census Tract 12.02, King County, Washington",1454.0,0.0,0.0,0.0,0.0,15.0,11.0,10.0,61.0,63.0,17.0,225.0,543.0,210.0,108.0,144.0,47.0,53,033,001202
"Census Tract 13, King County, Washington",2410.0,26.0,28.0,46.0,34.0,55.0,34.0,0.0,36.0,66.0,53.0,549.0,611.0,312.0,219.0,318.0,23.0,53,033,001300
"Census Tract 14, King County, Washington",2248.0,0.0,0.0,20.0,0.0,0.0,16.0,53.0,27.0,18.0,48.0,589.0,359.0,334.0,340.0,444.0,0.0,53,033,001400
"Census Tract 15, King County, Washington",1124.0,0.0,0.0,9.0,8.0,0.0,37.0,16.0,30.0,41.0,25.0,204.0,106.0,110.0,81.0,428.0,29.0,53,033,001500
"Census Tract 16, King County, Washington",1841.0,0.0,0.0,14.0,8.0,22.0,0.0,5.0,13.0,26.0,19.0,186.0,115.0,239.0,297.0,897.0,0.0,53,033,001600
"Census Tract 17.01, King County, Washington",2142.0,0.0,0.0,0.0,0.0,28.0,60.0,54.0,58.0,85.0,40.0,352.0,645.0,372.0,257.0,191.0,0.0,53,033,001701
"Census Tract 17.02, King County, Washington",2276.0,11.0,0.0,13.0,73.0,0.0,53.0,8.0,55.0,49.0,57.0,355.0,473.0,356.0,325.0,433.0,15.0,53,033,001702
"Census Tract 18, King County, Washington",2318.0,0.0,0.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0,18.0,473.0,537.0,405.0,335.0,492.0,10.0,53,033,001800
"Census Tract 19, King County, Washington",2261.0,8.0,0.0,0.0,31.0,37.0,35.0,16.0,44.0,48.0,39.0,294.0,482.0,441.0,227.0,559.0,0.0,53,033,001900
"Census Tract 20, King County, Washington",1516.0,0.0,0.0,0.0,0.0,23.0,15.0,37.0,53.0,46.0,39.0,296.0,204.0,191.0,227.0,363.0,22.0,53,033,002000
"Census Tract 21, King County, Washington",1829.0,0.0,10.0,0.0,0.0,3.0,30.0,40.0,148.0,23.0,73.0,285.0,309.0,176.0,229.0,493.0,10.0,53,033,002100
"Census Tract 22, King County, Washington",2338.0,0.0,0.0,13.0,19.0,0.0,0.0,38.0,149.0,67.0,84.0,350.0,110.0,256.0,355.0,857.0,40.0,53,033,002200
"Census Tract 24, King County, Washington",1363.0,0.0,0.0,0.0,0.0,8.0,0.0,19.0,35.0,76.0,42.0,295.0,159.0,91.0,274.0,364.0,0.0,53,033,002400
"Census Tract 25, King County, Washington",1299.0,0.0,27.0,0.0,24.0,20.0,21.0,22.0,40.0,50.0,25.0,148.0,116.0,217.0,167.0,422.0,0.0,53,033,002500
"Census Tract 26, King County, Washington",1874.0,0.0,0.0,8.0,0.0,0.0,13.0,15.0,80.0,49.0,66.0,241.0,255.0,252.0,215.0,625.0,55.0,53,033,002600
"Census Tract 27, King County, Washington",2376.0,0.0,0.0,46.0,7.0,16.0,14.0,0.0,10.0,55.0,67.0,354.0,144.0,185.0,374.0,1104.0,0.0,53,033,002700
"Census Tract 28, King County, Washington",2226.0,0.0,0.0,0.0,37.0,14.0,30.0,11.0,162.0,56.0,75.0,258.0,338.0,205.0,395.0,531.0,114.0,53,033,002800
"Census Tract 29, King County, Washington",2095.0,0.0,0.0,15.0,17.0,16.0,15.0,10.0,40.0,44.0,57.0,309.0,243.0,364.0,318.0,627.0,20.0,53,033,002900
"Census Tract 30, King County, Washington",2641.0,0.0,0.0,0.0,0.0,0.0,19.0,34.0,85.0,125.0,58.0,422.0,336.0,402.0,282.0,843.0,35.0,53,033,003000
"Census Tract 31, King County, Washington",2697.0,0.0,0.0,58.0,40.0,0.0,0.0,84.0,70.0,60.0,174.0,282.0,244.0,372.0,276.0,982.0,55.0,53,033,003100
"Census Tract 32.01, King County, Washington",2538.0,0.0,0.0,67.0,96.0,70.0,42.0,0.0,0.0,0.0,30.0,392.0,541.0,414.0,169.0,717.0,0.0,53,033,003201
"Census Tract 32.02, King County, Washington",2105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,56.0,0.0,255.0,287.0,200.0,204.0,960.0,0.0,53,033,003202
"Census Tract 33.01, King County, Washington",2120.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,50.0,65.0,371.0,532.0,262.0,225.0,585.0,0.0,53,033,003301
"Census Tract 33.02, King County, Washington",1610.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,29.0,19.0,18.0,298.0,216.0,375.0,310.0,331.0,0.0,53,033,003302
"Census Tract 34, King County, Washington",1524.0,0.0,10.0,0.0,0.0,11.0,0.0,10.0,43.0,67.0,28.0,206.0,188.0,173.0,205.0,576.0,7.0,53,033,003400
"Census Tract 35, King County, Washington",1853.0,0.0,5.0,0.0,45.0,9.0,18.0,44.0,26.0,47.0,53.0,307.0,302.0,214.0,229.0,546.0,8.0,53,033,003500
"Census Tract 36.01, King County, Washington",1927.0,0.0,0.0,0.0,117.0,0.0,223.0,90.0,15.0,104.0,30.0,206.0,177.0,236.0,233.0,441.0,55.0,53,033,003601
"Census Tract 36.02, King County, Washington",2669.0,0.0,57.0,137.0,15.0,0.0,0.0,0.0,34.0,0.0,0.0,401.0,1118.0,444.0,179.0,284.0,0.0,53,033,003602
"Census Tract 38, King County, Washington",941.0,0.0,6.0,0.0,0.0,6.0,0.0,21.0,30.0,25.0,17.0,122.0,143.0,50.0,183.0,305.0,33.0,53,033,003800
"Census Tract 39, King County, Washington",1142.0,0.0,0.0,6.0,15.0,12.0,0.0,27.0,0.0,32.0,47.0,296.0,149.0,26.0,106.0,390.0,36.0,53,033,003900
"Census Tract 40, King County, Washington",1389.0,0.0,0.0,0.0,19.0,11.0,8.0,52.0,18.0,48.0,87.0,199.0,285.0,203.0,34.0,397.0,28.0,53,033,004000
"Census Tract 41.01, King County, Washington",1412.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,9.0,17.0,119.0,178.0,243.0,118.0,717.0,0.0,53,033,004101
"Census Tract 41.02, King County, Washington",1616.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,15.0,12.0,222.0,300.0,250.0,85.0,684.0,12.0,53,033,004102
"Census Tract 42.01, King County, Washington",1464.0,0.0,17.0,0.0,45.0,0.0,0.0,0.0,13.0,15.0,35.0,334.0,180.0,207.0,84.0,534.0,0.0,53,033,004201
"Census Tract 42.02, King County, Washington",1793.0,0.0,0.0,15.0,0.0,0.0,23.0,13.0,42.0,70.0,17.0,402.0,126.0,221.0,355.0,498.0,11.0,53,033,004202
"Census Tract 43.01, King County, Washington",1340.0,20.0,0.0,0.0,0.0,22.0,0.0,5.0,12.0,66.0,22.0,385.0,214.0,108.0,101.0,385.0,0.0,53,033,004301
"Census Tract 43.02, King County, Washington",1479.0,0.0,0.0,0.0,35.0,0.0,5.0,13.0,43.0,46.0,191.0,418.0,424.0,180.0,0.0,85.0,39.0,53,033,004302
"Census Tract 44.01, King County, Washington",1225.0,0.0,0.0,31.0,0.0,12.0,0.0,11.0,0.0,12.0,29.0,448.0,146.0,144.0,152.0,227.0,13.0,53,033,004401
"Census Tract 44.02, King County, Washington",1651.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,30.0,34.0,813.0,273.0,139.0,35.0,182.0,58.0,53,033,004402
"Census Tract 45, King County, Washington",1005.0,0.0,0.0,8.0,0.0,0.0,16.0,43.0,8.0,20.0,21.0,132.0,154.0,122.0,83.0,398.0,0.0,53,033,004500
"Census Tract 46, King County, Washington",1363.0,0.0,0.0,0.0,0.0,6.0,19.0,7.0,15.0,51.0,17.0,287.0,294.0,105.0,125.0,418.0,19.0,53,033,004600
"Census Tract 47.01, King County, Washington",2204.0,28.0,0.0,0.0,0.0,0.0,0.0,46.0,73.0,93.0,24.0,115.0,776.0,517.0,190.0,297.0,45.0,53,033,004701
"Census Tract 47.02, King County, Washington",2214.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,86.0,45.0,222.0,471.0,414.0,558.0,307.0,26.0,53,033,004702
"Census Tract 47.03, King County, Washington",2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,537.0,463.0,159.0,549.0,50.0,53,033,004703
"Census Tract 48, King County, Washington",2340.0,0.0,0.0,0.0,0.0,0.0,14.0,74.0,17.0,31.0,26.0,369.0,502.0,249.0,201.0,857.0,0.0,53,033,004800
"Census Tract 49.01, King County, Washington",1989.0,0.0,0.0,12.0,54.0,0.0,0.0,55.0,25.0,0.0,53.0,394.0,469.0,314.0,163.0,431.0,19.0,53,033,004901
"Census Tract 49.02, King County, Washington",1854.0,0.0,0.0,43.0,0.0,0.0,0.0,10.0,0.0,162.0,49.0,199.0,586.0,162.0,333.0,310.0,0.0,53,033,004902
"Census Tract 50, King County, Washington",2328.0,16.0,16.0,16.0,0.0,0.0,0.0,19.0,18.0,25.0,63.0,536.0,512.0,423.0,274.0,393.0,17.0,53,033,005000
"Census Tract 51, King County, Washington",1604.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,53.0,54.0,82.0,344.0,168.0,181.0,169.0,501.0,21.0,53,033,005100
"Census Tract 52.01, King County, Washington",1646.0,0.0,0.0,62.0,16.0,24.0,29.0,51.0,16.0,37.0,51.0,266.0,341.0,229.0,79.0,405.0,40.0,53,033,005201
"Census Tract 52.02, King County, Washington",1479.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,38.0,107.0,385.0,464.0,251.0,113.0,77.0,0.0,53,033,005202
"Census Tract 53.03, King County, Washington",24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,53,033,005303
"Census Tract 53.04, King County, Washington",148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,74.0,0.0,6.0,0.0,8.0,53,033,005304
"Census Tract 53.05, King County, Washington",1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,49.0,0.0,549.0,449.0,71.0,82.0,0.0,0.0,53,033,005305
"Census Tract 53.06, King County, Washington",1640.0,33.0,0.0,18.0,9.0,71.0,0.0,0.0,64.0,102.0,56.0,186.0,477.0,504.0,75.0,45.0,0.0,53,033,005306
"Census Tract 53.07, King County, Washington",361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,0.0,225.0,30.0,25.0,12.0,0.0,21.0,53,033,005307
"Census Tract 54.01, King County, Washington",2003.0,0.0,0.0,0.0,0.0,19.0,26.0,0.0,0.0,44.0,28.0,315.0,586.0,307.0,311.0,367.0,0.0,53,033,005401
"Census Tract 54.02, King County, Washington",1660.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,34.0,19.0,46.0,322.0,279.0,327.0,282.0,327.0,10.0,53,033,005402
"Census Tract 56, King County, Washington",2774.0,0.0,0.0,29.0,0.0,0.0,14.0,61.0,51.0,18.0,57.0,349.0,337.0,170.0,273.0,1400.0,15.0,53,033,005600
"Census Tract 57, King County, Washington",2989.0,0.0,14.0,0.0,38.0,0.0,120.0,0.0,14.0,63.0,56.0,397.0,336.0,443.0,323.0,1151.0,34.0,53,033,005700
"Census Tract 58.01, King County, Washington",3153.0,0.0,0.0,0.0,0.0,0.0,35.0,28.0,42.0,0.0,14.0,317.0,698.0,685.0,500.0,834.0,0.0,53,033,005801
"Census Tract 58.03, King County, Washington",1497.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,26.0,12.0,18.0,307.0,285.0,204.0,235.0,373.0,14.0,53,033,005803
"Census Tract 58.04, King County, Washington",1529.0,0.0,0.0,75.0,0.0,0.0,0.0,29.0,13.0,9.0,0.0,361.0,400.0,368.0,109.0,153.0,12.0,53,033,005804
"Census Tract 59.01, King County, Washington",1297.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,90.0,315.0,148.0,326.0,69.0,300.0,0.0,53,033,005901
"Census Tract 59.02, King County, Washington",1716.0,35.0,40.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,58.0,81.0,374.0,151.0,162.0,780.0,21.0,53,033,005902
"Census Tract 60, King County, Washington",3076.0,0.0,14.0,0.0,0.0,34.0,0.0,15.0,79.0,32.0,90.0,612.0,635.0,525.0,260.0,780.0,0.0,53,033,006000
"Census Tract 61, King County, Washington",3065.0,0.0,18.0,12.0,0.0,13.0,17.0,54.0,70.0,102.0,29.0,592.0,853.0,421.0,239.0,621.0,24.0,53,033,006100
"Census Tract 62, King County, Washington",1632.0,0.0,0.0,9.0,15.0,33.0,9.0,8.0,0.0,8.0,48.0,350.0,225.0,48.0,120.0,759.0,0.0,53,033,006200
"Census Tract 63, King County, Washington",2648.0,7.0,0.0,0.0,41.0,0.0,0.0,0.0,28.0,66.0,55.0,447.0,463.0,322.0,242.0,954.0,23.0,53,033,006300
"Census Tract 64, King County, Washington",1460.0,0.0,0.0,0.0,0.0,0.0,54.0,16.0,0.0,23.0,126.0,115.0,203.0,205.0,94.0,624.0,0.0,53,033,006400
"Census Tract 65, King County, Washington",2665.0,0.0,0.0,15.0,0.0,33.0,0.0,0.0,0.0,55.0,15.0,389.0,731.0,437.0,240.0,750.0,0.0,53,033,006500
"Census Tract 66, King County, Washington",2351.0,0.0,0.0,9.0,0.0,0.0,16.0,0.0,0.0,17.0,30.0,232.0,708.0,623.0,229.0,487.0,0.0,53,033,006600
"Census Tract 67.01, King County, Washington",1992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,445.0,928.0,356.0,220.0,0.0,53,033,006701
"Census Tract 67.02, King County, Washington",1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,119.0,368.0,677.0,356.0,370.0,0.0,53,033,006702
"Census Tract 67.03, King County, Washington",1882.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,754.0,340.0,214.0,235.0,308.0,0.0,53,033,006703
"Census Tract 68, King County, Washington",1537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,44.0,224.0,291.0,351.0,149.0,443.0,0.0,53,033,006800
"Census Tract 69, King County, Washington",2142.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,31.0,81.0,333.0,318.0,342.0,167.0,856.0,0.0,53,033,006900
"Census Tract 70.01, King County, Washington",2870.0,25.0,0.0,141.0,98.0,32.0,27.0,0.0,37.0,49.0,37.0,994.0,854.0,114.0,89.0,373.0,0.0,53,033,007001
"Census Tract 70.02, King County, Washington",2245.0,0.0,0.0,0.0,7.0,0.0,0.0,37.0,0.0,17.0,18.0,505.0,1021.0,440.0,67.0,133.0,0.0,53,033,007002
"Census Tract 71.01, King County, Washington",1860.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,137.0,664.0,641.0,162.0,225.0,0.0,53,033,007101
"Census Tract 71.02, King County, Washington",1680.0,0.0,19.0,35.0,0.0,26.0,16.0,0.0,0.0,33.0,0.0,246.0,474.0,377.0,348.0,76.0,30.0,53,033,007102
"Census Tract 72.01, King County, Washington",3535.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,53.0,73.0,387.0,765.0,1005.0,354.0,746.0,0.0,53,033,007201
"Census Tract 72.02, King County, Washington",1932.0,63.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,260.0,305.0,217.0,480.0,571.0,0.0,53,033,007202
"Census Tract 72.03, King County, Washington",1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,90.0,202.0,478.0,605.0,347.0,225.0,0.0,53,033,007203
"Census Tract 73.01, King County, Washington",1916.0,22.0,0.0,52.0,0.0,24.0,19.0,21.0,26.0,14.0,0.0,150.0,445.0,674.0,252.0,217.0,0.0,53,033,007301
"Census Tract 73.02, King County, Washington",3091.0,44.0,0.0,43.0,70.0,17.0,23.0,16.0,0.0,67.0,131.0,405.0,94.0,389.0,770.0,971.0,51.0,53,033,007302
"Census Tract 73.03, King County, Washington",1844.0,66.0,0.0,25.0,57.0,24.0,0.0,0.0,0.0,13.0,0.0,240.0,168.0,383.0,319.0,499.0,50.0,53,033,007303
