NAME,B25104_001E,B25104_002E,B25104_003E,B25104_004E,B25104_005E,B25104_006E,B25104_007E,B25104_008E,B25104_009E,B25104_010E,B25104_011E,B25104_012E,B25104_013E,B25104_014E,B25104_015E,B25104_016E,B25104_017E,state,county,tract
"Census Tract 108.16, Benton County, Washington",2093.0,0.0,0.0,0.0,25.0,312.0,52.0,256.0,46.0,16.0,69.0,493.0,263.0,297.0,33.0,168.0,63.0,53,005,010816
"Census Tract 108.17, Benton County, Washington",2329.0,0.0,0.0,0.0,27.0,67.0,343.0,187.0,153.0,33.0,0.0,279.0,274.0,462.0,265.0,239.0,0.0,53,005,010817
"Census Tract 108.18, Benton County, Washington",1234.0,0.0,0.0,15.0,0.0,0.0,25.0,197.0,44.0,33.0,28.0,176.0,460.0,159.0,70.0,27.0,0.0,53,005,010818
"Census Tract 108.19, Benton County, Washington",1181.0,0.0,0.0,0.0,0.0,69.0,133.0,96.0,17.0,12.0,17.0,118.0,205.0,308.0,73.0,97.0,36.0,53,005,010819
"Census Tract 108.20, Benton County, Washington",1922.0,0.0,0.0,72.0,74.0,110.0,60.0,0.0,24.0,47.0,23.0,786.0,333.0,193.0,51.0,149.0,0.0,53,005,010820
"Census Tract 109.01, Benton County, Washington",2377.0,0.0,14.0,30.0,136.0,109.0,85.0,14.0,287.0,184.0,183.0,1144.0,146.0,0.0,0.0,11.0,34.0,53,005,010901
"Census Tract 109.02, Benton County, Washington",2213.0,0.0,20.0,75.0,104.0,36.0,110.0,91.0,109.0,434.0,67.0,894.0,173.0,26.0,17.0,8.0,49.0,53,005,010902
"Census Tract 110.01, Benton County, Washington",2155.0,35.0,11.0,0.0,106.0,55.0,123.0,199.0,59.0,197.0,369.0,522.0,224.0,127.0,0.0,110.0,18.0,53,005,011001
"Census Tract 110.02, Benton County, Washington",1997.0,0.0,39.0,132.0,110.0,121.0,80.0,144.0,65.0,229.0,197.0,745.0,100.0,0.0,0.0,23.0,12.0,53,005,011002
"Census Tract 111, Benton County, Washington",2794.0,0.0,0.0,0.0,104.0,281.0,121.0,161.0,182.0,229.0,282.0,684.0,486.0,238.0,0.0,13.0,13.0,53,005,011100
"Census Tract 112.01, Benton County, Washington",1529.0,0.0,0.0,0.0,33.0,97.0,42.0,170.0,62.0,75.0,158.0,641.0,183.0,0.0,0.0,0.0,68.0,53,005,011201
"Census Tract 112.02, Benton County, Washington",1295.0,12.0,0.0,115.0,169.0,8.0,4.0,105.0,74.0,240.0,106.0,348.0,88.0,0.0,0.0,0.0,26.0,53,005,011202
"Census Tract 113, Benton County, Washington",1611.0,30.0,19.0,91.0,143.0,65.0,109.0,81.0,66.0,165.0,37.0,487.0,221.0,0.0,0.0,25.0,72.0,53,005,011300
"Census Tract 114.01, Benton County, Washington",1339.0,27.0,0.0,38.0,56.0,88.0,88.0,94.0,8.0,46.0,221.0,455.0,140.0,44.0,0.0,0.0,34.0,53,005,011401
"Census Tract 114.02, Benton County, Washington",1853.0,0.0,42.0,95.0,120.0,276.0,64.0,37.0,22.0,29.0,24.0,289.0,609.0,182.0,43.0,21.0,0.0,53,005,011402
"Census Tract 115.01, Benton County, Washington",2180.0,27.0,52.0,124.0,84.0,178.0,67.0,146.0,131.0,127.0,90.0,633.0,197.0,116.0,107.0,32.0,69.0,53,005,011501
"Census Tract 115.04, Benton County, Washington",957.0,0.0,4.0,0.0,42.0,65.0,26.0,32.0,4.0,62.0,48.0,270.0,210.0,125.0,48.0,17.0,4.0,53,005,011504
"Census Tract 115.05, Benton County, Washington",1679.0,0.0,35.0,78.0,45.0,125.0,51.0,175.0,254.0,90.0,162.0,279.0,141.0,49.0,48.0,147.0,0.0,53,005,011505
"Census Tract 115.06, Benton County, Washington",2375.0,0.0,0.0,0.0,21.0,130.0,144.0,79.0,66.0,57.0,13.0,458.0,451.0,698.0,167.0,91.0,0.0,53,005,011506
"Census Tract 116, Benton County, Washington",311.0,25.0,6.0,27.0,27.0,28.0,0.0,14.0,12.0,34.0,20.0,26.0,49.0,0.0,0.0,5.0,38.0,53,005,011600
"Census Tract 117.01, Benton County, Washington",949.0,0.0,0.0,24.0,24.0,99.0,160.0,259.0,7.0,19.0,0.0,94.0,167.0,37.0,0.0,0.0,59.0,53,005,011701
"Census Tract 117.02, Benton County, Washington",1921.0,0.0,64.0,131.0,54.0,126.0,46.0,109.0,0.0,202.0,242.0,459.0,341.0,35.0,31.0,65.0,16.0,53,005,011702
